model,batch,residency_pct,precision,bw_gbps,e_union,bytes_per_layer,t_transfer_ms,t_compute_ms,compute_provenance,rho,required_bw_gbps_for_rho1
olmoe,1,0.0,fp16,16,8.0,100663296.0,6.291456,2.9918726973235605,measured_here,2.102848829640428,33.64558127424685
olmoe,1,0.0,fp16,32,8.0,100663296.0,3.145728,2.9918726973235605,measured_here,1.051424414820214,33.64558127424685
olmoe,1,0.0,fp16,64,8.0,100663296.0,1.572864,2.9918726973235605,measured_here,0.525712207410107,33.64558127424685
olmoe,1,0.0,fp16,128,8.0,100663296.0,0.786432,2.9918726973235605,measured_here,0.2628561037050535,33.64558127424685
olmoe,1,12.5,fp16,16,8.0,88080384.0,5.505024,2.9918726973235605,measured_here,1.8399927259353746,29.439883614965996
olmoe,1,12.5,fp16,32,8.0,88080384.0,2.752512,2.9918726973235605,measured_here,0.9199963629676873,29.439883614965996
olmoe,1,12.5,fp16,64,8.0,88080384.0,1.376256,2.9918726973235605,measured_here,0.45999818148384364,29.439883614965996
olmoe,1,12.5,fp16,128,8.0,88080384.0,0.688128,2.9918726973235605,measured_here,0.22999909074192182,29.439883614965996
olmoe,1,25.0,fp16,16,8.0,75497472.0,4.718592,2.9918726973235605,measured_here,1.5771366222303211,25.23418595568514
olmoe,1,25.0,fp16,32,8.0,75497472.0,2.359296,2.9918726973235605,measured_here,0.7885683111151606,25.23418595568514
olmoe,1,25.0,fp16,64,8.0,75497472.0,1.179648,2.9918726973235605,measured_here,0.3942841555575803,25.23418595568514
olmoe,1,25.0,fp16,128,8.0,75497472.0,0.589824,2.9918726973235605,measured_here,0.19714207777879014,25.23418595568514
olmoe,1,37.5,fp16,16,8.0,62914560.0,3.9321599999999997,2.9918726973235605,measured_here,1.3142805185252675,21.02848829640428
olmoe,1,37.5,fp16,32,8.0,62914560.0,1.9660799999999998,2.9918726973235605,measured_here,0.6571402592626338,21.02848829640428
olmoe,1,37.5,fp16,64,8.0,62914560.0,0.9830399999999999,2.9918726973235605,measured_here,0.3285701296313169,21.02848829640428
olmoe,1,37.5,fp16,128,8.0,62914560.0,0.49151999999999996,2.9918726973235605,measured_here,0.16428506481565844,21.02848829640428
olmoe,1,50.0,fp16,16,8.0,50331648.0,3.145728,2.9918726973235605,measured_here,1.051424414820214,16.822790637123425
olmoe,1,50.0,fp16,32,8.0,50331648.0,1.572864,2.9918726973235605,measured_here,0.525712207410107,16.822790637123425
olmoe,1,50.0,fp16,64,8.0,50331648.0,0.786432,2.9918726973235605,measured_here,0.2628561037050535,16.822790637123425
olmoe,1,50.0,fp16,128,8.0,50331648.0,0.393216,2.9918726973235605,measured_here,0.13142805185252676,16.822790637123425
olmoe,1,75.0,fp16,16,8.0,25165824.0,1.572864,2.9918726973235605,measured_here,0.525712207410107,8.411395318561713
olmoe,1,75.0,fp16,32,8.0,25165824.0,0.786432,2.9918726973235605,measured_here,0.2628561037050535,8.411395318561713
olmoe,1,75.0,fp16,64,8.0,25165824.0,0.393216,2.9918726973235605,measured_here,0.13142805185252676,8.411395318561713
olmoe,1,75.0,fp16,128,8.0,25165824.0,0.196608,2.9918726973235605,measured_here,0.06571402592626338,8.411395318561713
olmoe,1,0.0,nf4,16,8.0,25964838.912,1.622802432,2.9918726973235605,measured_here,0.542403569995378,8.678457119926046
olmoe,1,0.0,nf4,32,8.0,25964838.912,0.811401216,2.9918726973235605,measured_here,0.271201784997689,8.678457119926046
olmoe,1,0.0,nf4,64,8.0,25964838.912,0.405700608,2.9918726973235605,measured_here,0.1356008924988445,8.678457119926046
olmoe,1,0.0,nf4,128,8.0,25964838.912,0.202850304,2.9918726973235605,measured_here,0.06780044624942225,8.678457119926046
olmoe,1,12.5,nf4,16,8.0,22719234.048,1.419952128,2.9918726973235605,measured_here,0.4746031237459557,7.593649979935291
olmoe,1,12.5,nf4,32,8.0,22719234.048,0.709976064,2.9918726973235605,measured_here,0.23730156187297785,7.593649979935291
olmoe,1,12.5,nf4,64,8.0,22719234.048,0.354988032,2.9918726973235605,measured_here,0.11865078093648893,7.593649979935291
olmoe,1,12.5,nf4,128,8.0,22719234.048,0.177494016,2.9918726973235605,measured_here,0.05932539046824446,7.593649979935291
olmoe,1,25.0,nf4,16,8.0,19473629.184,1.2171018240000002,2.9918726973235605,measured_here,0.40680267749653354,6.508842839944535
olmoe,1,25.0,nf4,32,8.0,19473629.184,0.6085509120000001,2.9918726973235605,measured_here,0.20340133874826677,6.508842839944535
olmoe,1,25.0,nf4,64,8.0,19473629.184,0.30427545600000006,2.9918726973235605,measured_here,0.10170066937413338,6.508842839944535
olmoe,1,25.0,nf4,128,8.0,19473629.184,0.15213772800000003,2.9918726973235605,measured_here,0.05085033468706669,6.508842839944535
olmoe,1,37.5,nf4,16,8.0,16228024.32,1.01425152,2.9918726973235605,measured_here,0.3390022312471112,5.424035699953779
olmoe,1,37.5,nf4,32,8.0,16228024.32,0.50712576,2.9918726973235605,measured_here,0.1695011156235556,5.424035699953779
olmoe,1,37.5,nf4,64,8.0,16228024.32,0.25356288,2.9918726973235605,measured_here,0.0847505578117778,5.424035699953779
olmoe,1,37.5,nf4,128,8.0,16228024.32,0.12678144,2.9918726973235605,measured_here,0.0423752789058889,5.424035699953779
