model,bw_gbps,policy,policy_kind,w_kv,ttft_p50_ms,ttft_p95_ms,ttft_mean_ms,n_kv_completions,tpot_inflation_p50_ms,tpot_inflation_p95_ms,tpot_inflation_mean_ms,n_expert_completions,pareto_optimal
olmoe,32.0,expert-first,expert-first,,8361.765019345276,19766.884308782817,9243.71133471805,106,-5.115907697472721e-13,3.979039320256561e-13,-3.2335500468310615e-13,5140,True
olmoe,32.0,kv-first,kv-first,,246.62212522773189,1204.2655769945288,405.0581615440794,269,4375.370964974319,9133.060954118282,4517.351581096792,3546,True
olmoe,32.0,weighted:0.2,weighted,0.2,10047.102721147368,18153.858433860332,9431.110441365117,125,259.3241926948535,569.0935383294668,270.28735999798016,5039,False
olmoe,32.0,weighted:0.5,weighted,0.5,1227.867560784293,4675.0107520260835,1737.9710336955138,248,3941.0037798555954,8252.041491858938,3738.643436782949,3802,True
olmoe,32.0,weighted:0.8,weighted,0.8,414.3942852277323,1721.4989298660632,560.1262551400526,263,4339.901314816404,9165.264754593396,4450.4233767354135,3585,True
olmoe,64.0,expert-first,expert-first,,142.28797034258878,880.4330263998745,312.41191622997724,271,1.9895196601282805e-13,1.5631940186722204e-12,6.176468761432155e-13,5140,False
olmoe,64.0,kv-first,kv-first,,67.10886400000163,379.39982560977666,146.8519545611189,272,1.5631940186722204e-12,519.6337600175793,92.87392744330246,5113,True
olmoe,64.0,weighted:0.2,weighted,0.2,142.28797034258878,878.0839132279343,311.3506783977266,271,1.5631940186722204e-12,2.978552438784135,1.0881019782976682,5140,False
olmoe,64.0,weighted:0.5,weighted,0.5,142.28797034258696,878.0839132280125,309.00056433957883,271,1.5631940186722204e-12,11.914209755136397,4.275485218125166,5140,False
olmoe,64.0,weighted:0.8,weighted,0.8,83.88608000000022,551.8352394521523,198.56431603694378,271,1.5631940186722204e-12,365.08390907843454,65.60025161077122,5126,False
mixtral,32.0,expert-first,expert-first,,1055.5641495445216,3704.342024384245,1334.2982258339619,252,-5.968558980384842e-13,3.126388037344441e-13,-4.068587171886601e-13,365,True
mixtral,32.0,kv-first,kv-first,,246.62212522773189,1204.2655769945288,405.0581615440794,269,414.0122123383196,4646.88044275621,1071.32519616934,338,True
mixtral,32.0,weighted:0.2,weighted,0.2,1027.8538374185378,3661.5486512070675,1314.0442058430665,252,45.42213864652817,45.42213864652817,32.55873631971499,361,True
mixtral,32.0,weighted:0.5,weighted,0.5,946.8654562661206,3590.119826965154,1267.4567608179682,252,181.68855458611083,181.68855458611264,122.72517738468355,361,True
mixtral,32.0,weighted:0.8,weighted,0.8,389.46878867261876,1702.346284707477,552.1530972640683,263,396.6639182034454,3939.9145231672187,950.7957714765233,342,True
mixtral,64.0,expert-first,expert-first,,135.01070766561332,583.4862713948469,209.7190066936327,271,1.5631940186722204e-13,1.5205614545266144e-12,5.947145363690701e-13,365,False
mixtral,64.0,kv-first,kv-first,,67.10886400000163,379.39982560977666,146.8519545611189,272,1.5205614545266144e-12,464.28178760903063,81.3803572905727,362,True
mixtral,64.0,weighted:0.2,weighted,0.2,130.16598859211092,583.4862713948451,207.09270919393455,271,1.5205614545266144e-12,22.711069323264084,6.490116923479951,365,False
mixtral,64.0,weighted:0.5,weighted,0.5,113.37890160894858,583.4862713948469,199.59937963704604,271,1.5205614545266144e-12,90.84427729305541,22.26864486260835,365,False
mixtral,64.0,weighted:0.8,weighted,0.8,83.88608000000022,532.2987256082724,179.69901406738524,271,1.5205614545266144e-12,302.94017759482756,56.03669522567712,363,False
