batch,per_token_time_ms,compute_component_ms,transfer_component_ms,total_tpot_ms,feasible_under_slo,compute_provenance,rho
1,2.9918726973235605,2.9918726973235605,1.179648,47.86996315717697,True,measured_here,0.3942841555575803
2,1.0543104,0.05693625339366516,1.0543104,33.7379328,True,flop_estimate,18.5173828125
4,0.8826024959999997,0.05693625339366516,0.8826024959999997,56.48655974399998,True,flop_estimate,15.501590698242182
8,0.6756088320000001,0.37984665045514704,0.6756088320000001,86.47793049600001,True,measured_here,1.7786357499545127
16,0.45563212799999997,0.05693625339366516,0.45563212799999997,116.64182476799999,False,flop_estimate,8.002495788574217
32,0.27064627199999997,0.09686703116167336,0.27064627199999997,138.57089126399998,False,measured_here,2.7939978004310357
64,0.14454547199999998,0.05693625339366516,0.14454547199999998,148.01456332799998,False,flop_estimate,2.538724685668945
